Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,
7364,IRT_CUTR,43.8,43.7,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
7570,IRT_CUTR,37,37.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
7776,IRT_CUTR,35.9,35.8,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
7982,IRT_CUTR,39.7,39.8,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
8188,IRT_CUTR,38.9,39.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
8394,IRT_CUTR,44.2,44.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
8600,IRT_CUTR,41.2,41.3,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
8806,IRT_CUTR,40.8,40.7,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
9012,IRT_CUTR,40.4,40.6,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
9218,IRT_CUTR,41.2,41.5,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
9424,IRT_CUTR,41.2,41.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
9630,IRT_CUTR,38.9,39,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
9836,IRT_CUTR,46.8,47.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
10042,IRT_CUTR,38.5,38.6,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
10454,IRT_CUTR,43.4,43.5,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
10660,IRT_CUTR,43,43.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
10866,IRT_CUTR,49.8,49.9,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
11278,IRT_CUTR,47.1,47.2,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
11484,IRT_CUTR,41.8,42.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
12102,IRT_CUTR,41.9,41.8,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
12308,IRT_CUTR,47.2,47.4,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
12514,IRT_CUTR,41.2,41.3,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
12926,IRT_CUTR,46.2,46.4,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
13132,IRT_CUTR,44.7,44.8,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
13544,IRT_CUTR,54.1,54.2,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
13750,IRT_CUTR,49.9,50.1,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
13956,IRT_CUTR,45.4,45.5,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
14162,IRT_CUTR,47.3,47.4,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
14368,IRT_CUTR,46.2,46.3,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
14574,IRT_CUTR,45.8,46,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
14780,IRT_CUTR,53,53.4,Cifras preliminares,14/08/2023,"Se actualizó la información utilizada para la retropolación del periodo 2007 a 2017, antes se utilizaba el índice de remuneraciones totales base 2013=100 que incluía las remuneraciones totales además del pago por suministro de personal nacional y extranjero y se cambió por un índice de remuneraciones totales base 2013=100 que incluye las remuneraciones totales y el pago por suministro de personal nacional."
